searc_city,city,country,lat,lng,temp,humidity,cloudiness,windspeed
maiduguri,Maiduguri,NG,11.8464,13.1603,106.03,10,48,12.82
kailua,Kailua,US,21.4022,-157.7394,69.71,73,75,9.22
necochea,Necochea,AR,-38.5473,-58.7368,70.0,47,68,1.99
alice town,Alice Town,BS,25.7167,-79.3,78.33,70,10,18.5
morales,Morales,CO,2.757,-76.6172,76.26,58,100,4.05
ambon,Ambon City,ID,-3.6954,128.1814,78.8,94,40,4.61
tra vinh,Tra Vinh,VN,9.9347,106.3453,80.17,85,100,4.54
yasnyy,Yasnyy,RU,51.0333,59.8742,73.26,31,5,6.02
balakovo,Balakovo,RU,52.0278,47.8007,74.79,44,24,8.59
manakara,Manakara,MG,-22.1333,48.0167,73.06,82,0,7.09
pedasi,Pedasí,PA,7.5333,-80.0333,86.0,95,95,15.86
batsfjord,Båtsfjord,NO,70.6345,29.7185,35.15,87,100,16.33
val-david,Val-David,CA,46.0334,-74.2159,69.53,24,100,2.3
kisiwani,Kisiwani,TZ,-4.1333,37.95,73.6,73,76,4.9
port macquarie,Port Macquarie,AU,-31.4333,152.9167,46.9,86,3,14.72
zlobin,Zlobin,HR,45.2924,14.6541,60.08,52,20,5.75
opuwo,Opuwo,NA,-18.0607,13.84,79.21,22,0,6.06
gamba,Gamba,GA,-2.65,10.0,82.17,76,39,8.99
samarai,Samarai,PG,-10.6167,150.6667,80.82,82,52,7.23
grants pass,Grants Pass,US,42.439,-123.3284,62.13,51,1,5.75
motema,Motema,SL,8.6,-11.0333,88.12,55,73,4.12
cascais,Cascais,PT,38.6979,-9.4215,70.16,64,20,12.66
linhares,Linhares,BR,-19.3911,-40.0722,78.51,52,65,5.48
trzebiatow,Trzebiatów,PL,54.0615,15.2648,54.0,88,89,3.0
emba,Emba,KZ,48.8264,58.1442,76.39,29,11,9.33
nyurba,Nyurba,RU,63.2842,118.3319,49.21,57,100,6.89
kloulklubed,Kloulklubed,PW,7.0419,134.2556,77.0,100,75,3.44
longyearbyen,Longyearbyen,SJ,78.2186,15.6401,24.8,54,20,10.36
labuan,Labuan,MY,5.2767,115.2417,78.4,94,20,1.72
erdenet,Erdenet,MN,49.0333,104.0833,45.55,40,45,3.06
angoche,Angoche,MZ,-16.2325,39.9086,75.27,77,35,4.56
ondangwa,Ondangwa,NA,-17.9167,15.95,79.18,23,0,6.87
teahupoo,Teahupoo,PF,-17.8333,-149.2667,77.0,78,75,4.61
geraldton,Geraldton,AU,-28.7667,114.6,71.6,35,47,14.97
urusha,Urusha,RU,54.05,122.9,38.77,75,0,5.55
santo antonio do ica,Santo Antônio do Içá,BR,-3.1022,-67.9397,75.51,96,100,2.3
umm kaddadah,Umm Kaddadah,SD,13.6017,26.6876,96.26,6,1,7.34
san jose,San Jose,US,37.3394,-121.895,55.49,67,90,3.44
savannah bight,Savannah Bight,HN,16.45,-85.85,89.6,58,40,4.61
kaeo,Kaeo,NZ,-35.1,173.7833,48.99,95,9,1.68
